state,district,police,fire,ambulance,tourist_helpline,women_helpline,childline,disaster_mgmt,road_accident,rail_accident
Nagaland,Tuensang,100,101,102,1363,1091,1098,108,1073,1072
Nagaland,Wokha,100,101,102,1363,1091,1098,108,1073,1072
Nagaland,Mon,100,101,102,1363,1091,1098,108,1073,1072
Nagaland,Phek,100,101,102,1363,1091,1098,108,1073,1072
Nagaland,Kiphire,100,101,102,1363,1091,1098,108,1073,1072
Nagaland,Longleng,100,101,102,1363,1091,1098,108,1073,1072
Manipur,Imphal East,100,101,102,1363,1091,1098,108,1073,1072
Manipur,Imphal West,100,101,102,1363,1091,1098,108,1073,1072
Manipur,Thoubal,100,101,102,1363,1091,1098,108,1073,1072
Manipur,Bishnupur,100,101,102,1363,1091,1098,108,1073,1072
Manipur,Churachandpur,100,101,102,1363,1091,1098,108,1073,1072
Manipur,Senapati,100,101,102,1363,1091,1098,108,1073,1072
Manipur,Ukhrul,100,101,102,1363,1091,1098,108,1073,1072
Manipur,Tamenglong,100,101,102,1363,1091,1098,108,1073,1072
Manipur,Jiribam,100,101,102,1363,1091,1098,108,1073,1072
Manipur,Kakching,100,101,102,1363,1091,1098,108,1073,1072
Tripura,Agartala,100,101,102,1363,1091,1098,108,1073,1072
Tripura,Dharmanagar,100,101,102,1363,1091,1098,108,1073,1072
Tripura,Udaipur,100,101,102,1363,1091,1098,108,1073,1072
Tripura,Kailashahar,100,101,102,1363,1091,1098,108,1073,1072
Tripura,Ambassa,100,101,102,1363,1091,1098,108,1073,1072
Tripura,Khowai,100,101,102,1363,1091,1098,108,1073,1072
Tripura,Belonia,100,101,102,1363,1091,1098,108,1073,1072
Tripura,Sonamura,100,101,102,1363,1091,1098,108,1073,1072
Tripura,Teliamura,100,101,102,1363,1091,1098,108,1073,1072
Tripura,Sabroom,100,101,102,1363,1091,1098,108,1073,1072
Mizoram,Aizawl,100,101,102,1363,1091,1098,108,1073,1072
Mizoram,Lunglei,100,101,102,1363,1091,1098,108,1073,1072
Mizoram,Champhai,100,101,102,1363,1091,1098,108,1073,1072
Mizoram,Serchhip,100,101,102,1363,1091,1098,108,1073,1072
Mizoram,Mamit,100,101,102,1363,1091,1098,108,1073,1072
Mizoram,Kolasib,100,101,102,1363,1091,1098,108,1073,1072
Mizoram,Lawngtlai,100,101,102,1363,1091,1098,108,1073,1072
Mizoram,Saiha,100,101,102,1363,1091,1098,108,1073,1072
Mizoram,Hnahthial,100,101,102,1363,1091,1098,108,1073,1072
Mizoram,Saitual,100,101,102,1363,1091,1098,108,1073,1072
Arunachal Pradesh,Itanagar,100,101,102,1363,1091,1098,108,1073,1072
Arunachal Pradesh,Tawang,100,101,102,1363,1091,1098,108,1073,1072
Arunachal Pradesh,Bomdila,100,101,102,1363,1091,1098,108,1073,1072
Arunachal Pradesh,Ziro,100,101,102,1363,1091,1098,108,1073,1072
Arunachal Pradesh,Pasighat,100,101,102,1363,1091,1098,108,1073,1072
Arunachal Pradesh,Roing,100,101,102,1363,1091,1098,108,1073,1072
Arunachal Pradesh,Tezu,100,101,102,1363,1091,1098,108,1073,1072
Arunachal Pradesh,Khonsa,100,101,102,1363,1091,1098,108,1073,1072
Arunachal Pradesh,Changlang,100,101,102,1363,1091,1098,108,1073,1072
Arunachal Pradesh,Anini,100,101,102,1363,1091,1098,108,1073,1072
